#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	dhcp
#open	2025-03-06-11-34-09
#fields	ts	uids	client_addr	server_addr	mac	host_name	client_fqdn	domain	requested_addr	assigned_addr	lease_time	client_message	server_message	msg_types	duration
#types	time	set[string]	addr	addr	string	string	string	string	addr	addr	interval	string	string	vector[string]	interval
1741240895.823233	CmSWqz3LNUjbOXK7ta	-	-	d6:d6:d9:51:b2:3b	OnePlus-11R-5G	-	-	172.21.148.196	-	-	-	-	DISCOVER,REQUEST	0.000095
1741240912.207393	CmSWqz3LNUjbOXK7ta	-	-	80:30:49:a3:a6:0b	DESKTOP-AMJNEE6	DESKTOP-AMJNEE6	-	172.21.149.33	-	-	-	-	REQUEST	0.000000
1741240931.970354	CmSWqz3LNUjbOXK7ta	-	-	e2:65:27:01:d7:c8	Galaxy-M30	-	-	172.21.148.163	-	-	-	-	DISCOVER,REQUEST,REQUEST	0.512232
1741240928.490905	CmSWqz3LNUjbOXK7ta	-	-	b6:9d:27:00:f1:9b	I2217	-	-	172.21.148.220	-	-	-	-	REQUEST	0.000000
1741240928.898666	CmSWqz3LNUjbOXK7ta	-	-	a0:29:42:a5:00:3c	Neha	Neha	-	172.21.148.228	-	-	-	-	REQUEST	0.000000
1741240942.005854	CmSWqz3LNUjbOXK7ta	-	-	e2:65:27:01:d7:c8	Galaxy-M30	-	-	172.21.148.163	-	-	-	-	REQUEST,REQUEST	0.000289
1741240957.468585	CmSWqz3LNUjbOXK7ta	-	-	0e:0c:71:53:5a:81	-	-	-	172.21.149.12	-	-	-	-	REQUEST	0.000000
1741240967.811770	CmSWqz3LNUjbOXK7ta	-	-	a8:41:f4:0c:96:c9	VamadevsLaptop	VamadevsLaptop	-	172.21.148.247	-	-	-	-	REQUEST	0.000000
1741240967.913444	CmSWqz3LNUjbOXK7ta	-	-	96:b6:57:1d:87:f1	-	-	-	-	-	-	-	-	DISCOVER	0.000000
1741240964.431620	CmSWqz3LNUjbOXK7ta	-	-	b6:9d:27:00:f1:9b	I2217	-	-	172.21.148.220	-	-	-	-	DISCOVER,REQUEST	0.000295
1741240966.581549	CtDxaWsHtCcSUuhhd,CmSWqz3LNUjbOXK7ta	-	-	96:b6:57:1d:87:f1	-	-	-	172.27.1.31	-	-	-	-	REQUEST,NAK	0.000048
1741240987.880418	CmSWqz3LNUjbOXK7ta	-	-	80:30:49:a3:a6:0b	DESKTOP-AMJNEE6	DESKTOP-AMJNEE6	-	172.21.149.33	-	-	-	-	REQUEST	0.000000
1741240990.337907	CmSWqz3LNUjbOXK7ta	-	-	96:b6:57:1d:87:f1	-	-	-	172.21.149.28	-	-	-	-	DISCOVER,REQUEST	1.024000
1741240988.699518	CmSWqz3LNUjbOXK7ta	-	-	aa:63:e3:fb:aa:b3	M2101K6I	-	-	172.21.149.29	-	-	-	-	DISCOVER,DISCOVER,REQUEST	1.946322
#close	2025-03-06-11-34-09
